dataset	class_dir	ecotaxa_taxon_id
tara_pacific_hsn	Limacinidae	26524
tara_pacific_hsn	Creseidae	26525
tara_pacific_hsn	Ostracoda	30815
tara_pacific_hsn	Pyrocystaceae	31874
tara_pacific_hsn	Euphausiacea	45041
tara_pacific_hsn	Isopoda	45051
tara_pacific_hsn	Amphipoda	45054
tara_pacific_hsn	Siphonostomatoida	45068
tara_pacific_hsn	Monstrilloida	45069
tara_pacific_hsn	Harpacticoida	45071
tara_pacific_hsn	Calanoida	45074
tara_pacific_hsn	Cirripedia	45079
tara_pacific_hsn	Physonectae	51381
tara_pacific_hsn	Orbulina	54944
tara_pacific_hsn	Diacria	56458
tara_pacific_hsn	Actinopterygii	56693
tara_pacific_hsn	Temoridae	61973
tara_pacific_hsn	Rhincalanidae	61977
tara_pacific_hsn	Pontellidae	61980
tara_pacific_hsn	Metridinidae	61982
tara_pacific_hsn	Heterorhabdidae	61985
tara_pacific_hsn	Euchaetidae	61986
tara_pacific_hsn	Eucalanidae	61987
tara_pacific_hsn	Centropagidae	61990
tara_pacific_hsn	Candaciidae	61991
tara_pacific_hsn	Calanidae	61993
tara_pacific_hsn	Acartiidae	61996
tara_pacific_hsn	Oithonidae	62005
tara_pacific_hsn	Velella	72302
tara_pacific_hsn	Porpita	72303
tara_pacific_hsn	Diphyidae	72396
tara_pacific_hsn	Cavolinia inflexa	74144
tara_pacific_hsn	Creseis virgula	74170
tara_pacific_hsn	Creseis acicula	74172
tara_pacific_hsn	Hyperiidea	78159
tara_pacific_hsn	Gammaridea	78160
tara_pacific_hsn	Sapphirinidae	78412
tara_pacific_hsn	Oncaeidae	78418
tara_pacific_hsn	Corycaeidae	78426
tara_pacific_hsn	Brachyura	81916
tara_pacific_hsn	Podon	81940
tara_pacific_hsn	Evadne	81941
tara_pacific_hsn	Copilia	81977
tara_pacific_hsn	Spirorbis	82020
tara_pacific_hsn	Phronimidae	82147
tara_pacific_hsn	Calocalanus pavo	82515
tara_pacific_hsn	Pontellina plumata	82530
tara_pacific_hsn	Abylopsis tetragona	83278
tara_pacific_hsn	Laomediidae	83671
tara_pacific_hsn	Caprellidae	83760
tara_pacific_hsn	detritus<not-living	84963
tara_pacific_hsn	larvae<Annelida	84965
tara_pacific_hsn	part<Annelida	84966
tara_pacific_hsn	cyphonautes	84967
tara_pacific_hsn	tail<Chaetognatha	84968
tara_pacific_hsn	part<Cnidaria	84970
tara_pacific_hsn	nectophore<Abylopsis tetragona	84974
tara_pacific_hsn	eudoxid<Abylopsis tetragona	84975
tara_pacific_hsn	nectophore<Diphyidae	84976
tara_pacific_hsn	eudoxid<Diphyidae	84977
tara_pacific_hsn	nectophore<Hippopodiidae	84979
tara_pacific_hsn	nectophore<Physonectae	84980
tara_pacific_hsn	metanauplii<Crustacea	84983
tara_pacific_hsn	phyllosoma	84988
tara_pacific_hsn	megalopa<Brachyura	84991
tara_pacific_hsn	calyptopsis	84993
tara_pacific_hsn	protozoea<Sergestidae	84994
tara_pacific_hsn	larvae<Squillidae	84996
tara_pacific_hsn	nauplii<Cirripedia	84997
tara_pacific_hsn	cypris<Cirripedia	84998
tara_pacific_hsn	pluteus<Ophiuroidea	84999
tara_pacific_hsn	pluteus<Echinoidea	85000
tara_pacific_hsn	part<Mollusca	85003
tara_pacific_hsn	tail<Appendicularia	85004
tara_pacific_hsn	juvenile<Salpida	85005
tara_pacific_hsn	wing	85007
tara_pacific_hsn	artefact	85008
tara_pacific_hsn	t002	85013
tara_pacific_hsn	t003	85014
tara_pacific_hsn	t004	85015
tara_pacific_hsn	larvae<Porpitidae	85022
tara_pacific_hsn	multiple<Copepoda	85044
tara_pacific_hsn	dark<detritus	85054
tara_pacific_hsn	bubble	85060
tara_pacific_hsn	badfocus<artefact	85061
tara_pacific_hsn	seaweed	85067
tara_pacific_hsn	othertocheck	85069
tara_pacific_hsn	gelatinous	85070
tara_pacific_hsn	fiber<detritus	85076
tara_pacific_hsn	egg<other	85078
tara_pacific_hsn	multiple<other	85079
tara_pacific_hsn	part<Crustacea	85115
tara_pacific_hsn	nauplii<Crustacea	85116
tara_pacific_hsn	egg<Actinopterygii	85117
tara_pacific_hsn	scale	85118
tara_pacific_hsn	Appendicularia<Tunicata	85123
tara_pacific_hsn	gonophore<Abylidae	85126
tara_pacific_hsn	veliger<Mollusca	85128
tara_pacific_hsn	gonophore<Diphyidae	85185
tara_pacific_hsn	part<Ctenophora	85187
tara_pacific_hsn	dark<sphere	85217
tara_pacific_hsn	gonophore<Abylopsis tetragona	92012
tara_pacific_hsn	part<Siphonophorae	92039
tara_pacific_hsn	cirrus	92040
tara_pacific_hsn	badfocus<Copepoda	92042
tara_pacific_hsn	head<Chaetognatha	92068
tara_pacific_hsn	part<Copepoda	92069
tara_pacific_hsn	nectophore<Bassia bassensis	92109
tara_pacific_hsn	trunk<Appendicularia	92112
tara_pacific_hsn	Pterotrachea	92124
tara_pacific_hsn	Halobates	92138
tara_pacific_hsn	Atlanta	92139
tara_pacific_hsn	bract<Diphyidae	92230
tara_pacific_hsn	bract<Abylopsis tetragona	92231
tara_pacific_hsn	bract<Abylidae	92232
tara_pacific_hsn	part<Thaliacea	92235
tara_pacific_hsn	nucleus<Salpidae	92236
tara_pacific_hsn	larvae<Porcellanidae	92238
tara_pacific_hsn	zoea<Brachyura<Pleocyemata<Decapoda	92239
tara_pacific_hsn	nectophore<Abylidae	92311
tara_pacific_hsn	multiple<Pyrocystaceae	92772
tara_pacific_hsn	polype<Leptothecata	92774
tara_pacific_hsn	polype<Anthozoa	92775
tara_pacific_hsn	egg sac<egg	92843
tara_pacific_hsn	bract<Bassia bassensis	92873
tara_pacific_hsn	empty<Ostracoda	92980
tara_pacific_hsn	Lubbockia	93061
