Dataset,Raw_Labels,Kingdom,Phylum,Class,Order,Family,Genus,Species,proposed_label,plankton,living,root_class,qualifier,wikidata_ID,aphia_ID,NCBI_ID,BOLD_ID,ecotaxa_ID
medplanktonset,Guinardia_flaccida,chromista,heterokontophyta,bacillariophyceae,rhizosoleniales,rhizosoleniaceae,guinardia,flaccida,guinardia flaccida,True,True,living,full_body,Q67899419,149132.0,216801.0,345399.0,624
planktoscope,Guinardia flaccida,chromista,heterokontophyta,bacillariophyceae,rhizosoleniales,rhizosoleniaceae,guinardia,flaccida,guinardia flaccida,True,True,living,full_body,Q67899419,149132.0,216801.0,345399.0,624
whoi,Guinardia_flaccida,chromista,heterokontophyta,bacillariophyceae,rhizosoleniales,rhizosoleniaceae,guinardia,flaccida,guinardia flaccida,True,True,living,full_body,Q67899419,149132.0,216801.0,345399.0,624
whoi,Guinardia_striata,chromista,heterokontophyta,bacillariophyceae,rhizosoleniales,rhizosoleniaceae,guinardia,striata,guinardia striata,True,True,living,full_body,Q67899426,149113.0,1514137.0,678277.0,624
flowcamnet,Gymnodiniales,chromista,myzozoa,dinophyceae,gymnodiniales,,,,gymnodiniales,True,True,living,full_body,Q5890243,109392.0,2953.0,317015.0,240
syke_ifcb_2022,Gymnodiniales,chromista,myzozoa,dinophyceae,gymnodiniales,,,,gymnodiniales,True,True,living,full_body,Q5890243,109392.0,2953.0,317015.0,240
syke_ifcb_2022,Gymnodinium_like,chromista,myzozoa,dinophyceae,gymnodiniales,gymnodiniaceae,gymnodinium,,gymnodinium,True,True,living,like,Q140581,109475.0,2955.0,317017.0,240
medplanktonset,Gyrodinium_spirale_Gyrodinium_fusiforme,chromista,myzozoa,dinophyceae,gymnodiniales,gyrodiniaceae,gyrodinium,,gyrodinium,True,True,living,full_body,Q25364659,109476.0,60594.0,317077.0,240
planktoscope,Gyrodinium,chromista,myzozoa,dinophyceae,gymnodiniales,gyrodiniaceae,gyrodinium,,gyrodinium,True,True,living,full_body,Q25364659,109476.0,60594.0,317077.0,240
whoi,Gyrodinium,chromista,myzozoa,dinophyceae,gymnodiniales,gyrodiniaceae,gyrodinium,,gyrodinium,True,True,living,full_body,Q25364659,109476.0,60594.0,317077.0,240
jedioceans,LClass_Halacaridae,animalia,arthropoda,arachnida,trombidiformes,halacaridae,,,halacaridae,True,True,living,full_body,Q1104692,1484.0,94797.0,174581.0,
global_uvp5,Halicreas,animalia,cnidaria,hydrozoa,trachymedusae,halicreatidae,halicreas,,halicreas,True,True,living,full_body,Q40866968,117108.0,497497.0,1079034.0,306
global_uvp5,Halicreas minimum,animalia,cnidaria,hydrozoa,trachymedusae,halicreatidae,halicreas,minimum,halicreas minimum,True,True,living,full_body,Q1571038,117617.0,497499.0,1079035.0,306
global_uvp5,Halicreatidae,animalia,cnidaria,hydrozoa,trachymedusae,halicreatidae,,,halicreatidae,True,True,living,full_body,Q1571040,16844.0,168740.0,303019.0,306
planktonset1.0,hydromedusae_haliscera,animalia,cnidaria,hydrozoa,trachymedusae,halicreatidae,haliscera,,haliscera,True,True,living,full_body,Q4006872,117109.0,168741.0,978816.0,306
